Run	Num W	Num R	JSD	Same states
MYC_SMAD3_del	10	2	0.9999999999999998	False
MYC_SMAD3_change	10	2	0.9999999999999998	False
MYC_PAX5_del	10	2	0.9999999999999998	False
MYC_PAX5_change	10	2	0.9999999999999998	False
MYC_LEF1_del	10	2	0.9999999999999998	False
MYC_LEF1_change	10	2	0.9999999999999998	False
MYC_TCF3_del	10	2	0.9999999999999998	False
MYC_TCF3_change	10	2	0.9999999999999998	False
MYB_MITF_del	10	2	0.9999999999999998	False
MYB_MITF_change	10	2	0.9999999999999998	False
MYB_NFKB1_del	10	2	0.9999999999999998	False
MYB_NFKB1_change	10	2	0.9999999999999998	False
MYB_TCF4_del	10	2	0.9999999999999998	False
MYB_TCF4_change	10	4	0.9999999999999998	False
MYB_TCF7L2_del	10	12	0.9999999999999998	False
MYB_TCF7L2_change	10	12	1.0	False
MYB_MYC_del	10	12	0.9999999999999998	False
MYB_MYC_change	10	20	1.0	False
TCF3_FOXA1_del	10	16	1.0	False
TCF3_FOXA1_change	10	20	0.9999999999999998	False
TCF3_POU3F2_del	10	20	0.9999999999999998	False
TCF3_POU3F2_change	10	4	0.9999999999999998	False
SMAD3_FOXA1_del	10	4	0.9999999999999998	False
SMAD3_FOXA1_change	10	4	0.9999999999999998	False
SMAD3_MITF_del	10	20	0.9999999999999998	False
SMAD3_MITF_change	10	20	1.0	False
SMAD3_NFKB1_del	10	20	1.0	False
SMAD3_NFKB1_change	10	26	1.0	False
SMAD3_MYC_del	10	26	0.9999999999999998	False
SMAD3_MYC_change	10	34	1.0	False
FOXA2_FLI1_del	10	34	0.9999999999999998	False
FOXA2_FLI1_change	10	36	1.0	False
FOXA2_OVOL2_del	10	26	0.9999999999999998	False
FOXA2_OVOL2_change	10	26	0.9999999999999998	False
FOXA2_ETS2_del	10	28	1.0	False
FOXA2_ETS2_change	10	28	0.9999999999999998	False
FOXA2_FOXA1_del	10	24	1.0	False
FOXA2_FOXA1_change	10	24	0.9999999999999998	False
FOXA2_SMAD3_del	10	6	0.9999999999999998	False
FOXA2_SMAD3_change	10	6	0.9999999999999998	False
FOXA2_PAX5_del	10	6	1.0	False
FOXA2_PAX5_change	10	6	0.9999999999999998	False
